frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags,http.request.method,http.request.uri,http.host,data.text,src_port,dst_port,tcp.flags.int,flag_fin,flag_syn,flag_rst,flag_psh,flag_ack,flag_urg
1759895052.323654,44.228.249.3,172.20.10.7,80,49188,0,0,6,74,0x0012,,,,,80,49188,18,0,1,0,0,1,0
1759895052.323655,44.228.249.3,172.20.10.7,80,49182,0,0,6,74,0x0012,,,,,80,49182,18,0,1,0,0,1,0
1759895052.708885,44.228.249.3,172.20.10.7,80,49182,0,0,6,66,0x0010,,,,,80,49182,16,0,0,0,0,1,0
1759895052.714913,44.228.249.3,172.20.10.7,80,49182,0,0,6,2678,0x0018,,,,,80,49182,24,0,0,0,1,1,0
1759895052.714913,44.228.249.3,172.20.10.7,80,49182,0,0,6,451,0x0019,,,,,80,49182,25,1,0,0,1,1,0
1759895053.118747,44.228.249.3,172.20.10.7,80,49182,0,0,6,66,0x0010,,,,,80,49182,16,0,0,0,0,1,0
1759895053.324669,44.228.249.3,172.20.10.7,80,49188,0,0,6,66,0x0011,,,,,80,49188,17,1,0,0,0,1,0
1759895099.118521,44.228.249.3,172.20.10.7,80,47166,0,0,6,74,0x0012,,,,,80,47166,18,0,1,0,0,1,0
1759895099.118522,44.228.249.3,172.20.10.7,80,47170,0,0,6,74,0x0012,,,,,80,47170,18,0,1,0,0,1,0
1759895099.733361,44.228.249.3,172.20.10.7,80,47166,0,0,6,66,0x0010,,,,,80,47166,16,0,0,0,0,1,0
1759895099.733362,44.228.249.3,172.20.10.7,80,47166,0,0,6,2678,0x0018,,,,,80,47166,24,0,0,0,1,1,0
1759895099.733362,44.228.249.3,172.20.10.7,80,47166,0,0,6,451,0x0019,,,,,80,47166,25,1,0,0,1,1,0
1759895100.071044,44.228.249.3,172.20.10.7,80,47166,0,0,6,66,0x0010,,,,,80,47166,16,0,0,0,0,1,0
1759895100.259719,44.228.249.3,172.20.10.7,80,35454,0,0,6,74,0x0012,,,,,80,35454,18,0,1,0,0,1,0
1759895100.259719,44.228.249.3,172.20.10.7,80,47170,0,0,6,66,0x0010,,,,,80,47170,16,0,0,0,0,1,0
1759895100.259719,44.228.249.3,172.20.10.7,80,47170,0,0,6,2678,0x0018,,,,,80,47170,24,0,0,0,1,1,0
1759895100.25972,44.228.249.3,172.20.10.7,80,47170,0,0,6,86,0x0019,,,,,80,47170,25,1,0,0,1,1,0
1759895100.669818,44.228.249.3,172.20.10.7,80,47170,0,0,6,66,0x0010,,,,,80,47170,16,0,0,0,0,1,0
1759895100.860056,44.228.249.3,172.20.10.7,80,35454,0,0,6,66,0x0011,,,,,80,35454,17,1,0,0,0,1,0
1759895122.681894,44.228.249.3,172.20.10.7,80,52430,0,0,6,74,0x0012,,,,,80,52430,18,0,1,0,0,1,0
1759895122.69513,44.228.249.3,172.20.10.7,80,52432,0,0,6,74,0x0012,,,,,80,52432,18,0,1,0,0,1,0
1759895122.989666,44.228.249.3,172.20.10.7,80,52432,0,0,6,66,0x0010,,,,,80,52432,16,0,0,0,0,1,0
1759895122.989667,44.228.249.3,172.20.10.7,80,52432,0,0,6,2678,0x0018,,,,,80,52432,24,0,0,0,1,1,0
1759895122.989667,44.228.249.3,172.20.10.7,80,52432,0,0,6,451,0x0019,,,,,80,52432,25,1,0,0,1,1,0
1759895123.39855,44.228.249.3,172.20.10.7,80,52432,0,0,6,66,0x0010,,,,,80,52432,16,0,0,0,0,1,0
1759895123.603963,44.228.249.3,172.20.10.7,80,52430,0,0,6,66,0x0010,,,,,80,52430,16,0,0,0,0,1,0
1759895123.605615,44.228.249.3,172.20.10.7,80,52430,0,0,6,2678,0x0018,,,,,80,52430,24,0,0,0,1,1,0
1759895123.605616,44.228.249.3,172.20.10.7,80,52430,0,0,6,115,0x0019,,,,,80,52430,25,1,0,0,1,1,0
1759895123.605616,44.228.249.3,172.20.10.7,80,52446,0,0,6,74,0x0012,,,,,80,52446,18,0,1,0,0,1,0
1759895123.994929,44.228.249.3,172.20.10.7,80,52430,0,0,6,66,0x0010,,,,,80,52430,16,0,0,0,0,1,0
1759895124.014435,44.228.249.3,172.20.10.7,80,52456,0,0,6,74,0x0012,,,,,80,52456,18,0,1,0,0,1,0
1759895124.036617,44.228.249.3,172.20.10.7,80,52446,0,0,6,66,0x0010,,,,,80,52446,16,0,0,0,0,1,0
1759895124.036617,44.228.249.3,172.20.10.7,80,52446,0,0,6,2678,0x0018,,,,,80,52446,24,0,0,0,1,1,0
1759895124.036617,44.228.249.3,172.20.10.7,80,52446,0,0,6,165,0x0019,,,,,80,52446,25,1,0,0,1,1,0
1759895124.478665,44.228.249.3,172.20.10.7,80,52446,0,0,6,66,0x0010,,,,,80,52446,16,0,0,0,0,1,0
1759895143.184975,44.228.249.3,172.20.10.7,80,52456,0,0,6,66,0x0011,,,,,80,52456,17,1,0,0,0,1,0
1759895165.12402,44.228.249.3,172.20.10.7,80,38536,0,0,6,74,0x0012,,,,,80,38536,18,0,1,0,0,1,0
1759895165.132124,44.228.249.3,172.20.10.7,80,38546,0,0,6,74,0x0012,,,,,80,38546,18,0,1,0,0,1,0
1759895165.430446,44.228.249.3,172.20.10.7,80,38536,0,0,6,66,0x0010,,,,,80,38536,16,0,0,0,0,1,0
1759895165.430447,44.228.249.3,172.20.10.7,80,38536,0,0,6,2678,0x0018,,,,,80,38536,24,0,0,0,1,1,0
1759895165.430447,44.228.249.3,172.20.10.7,80,38536,0,0,6,451,0x0019,,,,,80,38536,25,1,0,0,1,1,0
1759895165.843806,44.228.249.3,172.20.10.7,80,38536,0,0,6,66,0x0010,,,,,80,38536,16,0,0,0,0,1,0
1759895165.965026,44.228.249.3,172.20.10.7,80,38546,0,0,6,66,0x0011,,,,,80,38546,17,1,0,0,0,1,0
1759895179.576304,44.228.249.3,172.20.10.7,80,53668,0,0,6,74,0x0012,,,,,80,53668,18,0,1,0,0,1,0
1759895179.576304,44.228.249.3,172.20.10.7,80,53682,0,0,6,74,0x0012,,,,,80,53682,18,0,1,0,0,1,0
1759895179.897367,44.228.249.3,172.20.10.7,80,53668,0,0,6,66,0x0010,,,,,80,53668,16,0,0,0,0,1,0
1759895179.897368,44.228.249.3,172.20.10.7,80,53668,0,0,6,2678,0x0018,,,,,80,53668,24,0,0,0,1,1,0
1759895179.897368,44.228.249.3,172.20.10.7,80,53668,0,0,6,451,0x0019,,,,,80,53668,25,1,0,0,1,1,0
1759895180.226726,44.228.249.3,172.20.10.7,80,53668,0,0,6,66,0x0010,,,,,80,53668,16,0,0,0,0,1,0
1759895190.539935,44.228.249.3,172.20.10.7,80,53682,0,0,6,66,0x0011,,,,,80,53682,17,1,0,0,0,1,0
1759895200.488998,44.228.249.3,172.20.10.7,80,36226,0,0,6,74,0x0012,,,,,80,36226,18,0,1,0,0,1,0
1759895200.488998,44.228.249.3,172.20.10.7,80,36242,0,0,6,74,0x0012,,,,,80,36242,18,0,1,0,0,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,66,0x0010,,,,,80,36226,16,0,0,0,0,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,2678,0x0018,,,,,80,36226,24,0,0,0,1,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,451,0x0019,,,,,80,36226,25,1,0,0,1,1,0
1759895201.196369,44.228.249.3,172.20.10.7,80,36226,0,0,6,66,0x0010,,,,,80,36226,16,0,0,0,0,1,0
1759895220.316116,44.228.249.3,172.20.10.7,80,36242,0,0,6,66,0x0011,,,,,80,36242,17,1,0,0,0,1,0
